top_proj,top_proj_target,top_proj_source,occ_proj,occ_proj_target,occ_proj_source,top_ms,top_ms_target,top_ms_source,occ_ms,occ_ms_target,occ_ms_source,devs,devs_target,devs_source,devs_both,files,files_target,files_source,files_both,chunks,chunks_target,chunks_source,loc,loc_target,loc_source,commits,commits_target,commits_source,has_conflict
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,6,6,0,0,7,7,0,328,328,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,3,3,0,19,19,0,1,1,0,0
2,2,0,14,14,1,1,0,0,15,15,0,16,16,1,1,138,138,2,2,1689,1683,8,15567,71339,36,170,169,1,1
1,0,1,3,1,2,1,1,1,3,0,3,4,1,3,0,24,2,22,0,83,11,72,3070,216,4486,21,2,19,0
2,2,0,14,14,1,1,0,0,15,15,0,16,16,1,1,139,138,3,2,1690,1683,9,15878,71339,1280,173,169,4,1
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,5,2,3,0,25,21,4,360,26,367,3,1,2,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,7,5,3,1,31,28,5,646,385,282,5,3,2,1
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,9,7,3,1,33,30,5,911,678,275,6,5,1,1
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,2,0,0,9,9,0,34,34,0,1,1,0,0
1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,3,3,0,0,6,6,0,251,251,0,1,1,0,0
1,0,1,1,1,0,2,1,1,0,0,0,2,1,1,0,16,12,4,0,80,65,15,1433,1914,285,13,11,2,0
1,0,1,7,1,6,1,1,1,7,0,7,8,1,7,0,133,7,128,2,1497,8,1489,9165,377,23295,87,2,85,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,7,4,4,1,40,15,25,350,285,65,4,2,2,0
1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,1,14,7,8,1,52,40,12,1165,350,2716,14,4,10,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,3,3,0,1,1,0,0
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,12,12,0,0,119,119,0,1210,2416,0,11,11,0,0
